,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,vwap,Day_Perc_Change,Trend
91,2018-08-16,79.75,80.4,80.4,77.95,78.05,78.2,78.78,229815,18105560.4,1804,122339,53.23,8,2018,73.67902989118002,-0.019435736677115956,Slight or No change
92,2018-08-17,78.2,78.9,80.0,78.5,78.7,79.0,79.17,307998,24385021.95,2617,104264,33.85,8,2018,73.68502581245468,0.010230179028132946,Slight or No change
93,2018-08-20,79.0,79.6,79.6,77.2,78.0,78.0,78.3,271930,21292394.6,2204,164941,60.66,8,2018,73.68931446311487,-0.012658227848101222,Slight or No change
94,2018-08-21,78.0,78.0,79.3,78.0,79.0,79.0,78.87,294216,23203993.15,2107,181378,61.65,8,2018,73.69501919778554,0.012820512820512775,Slight or No change
95,2018-08-23,79.0,78.8,79.15,76.6,77.25,77.25,77.46,435487,33732639.95,3666,291233,66.88,8,2018,73.7006626006918,-0.022151898734177222,Slight or No change
96,2018-08-24,77.25,77.25,79.35,77.0,78.55,78.7,78.42,305720,23974047.75,2455,188097,61.53,8,2018,73.70622780586694,0.01877022653721694,Slight or No change
97,2018-08-27,78.7,77.1,79.3,77.1,77.6,78.7,78.68,379706,29873825.1,1921,293272,77.24,8,2018,73.71312259571074,0.0,Slight or No change
98,2018-08-28,78.7,78.1,81.7,77.15,77.4,77.55,79.82,1321268,105460308.7,15836,441818,33.44,8,2018,73.73146820645445,-0.014612452350698968,Slight or No change
99,2018-08-29,77.55,77.55,79.0,77.55,77.95,77.95,78.08,211875,16542205.25,1638,125998,59.47,8,2018,73.73470020768417,0.0051579626047710825,Slight or No change
100,2018-08-30,77.95,78.0,79.5,77.65,78.0,78.15,78.58,272692,21429338.15,2347,118445,43.44,8,2018,73.73904966467083,0.0025657472738935816,Slight or No change
101,2018-08-31,78.15,78.3,78.95,77.35,78.8,78.55,78.37,218619,17134010.45,1828,150677,68.92,8,2018,73.74284612069836,0.0051183621241202015,Slight or No change
102,2018-09-03,78.55,78.75,78.8,77.0,77.25,77.25,77.82,199300,15508956.35,2960,132004,66.23,9,2018,73.74536733290107,-0.01654996817313814,Slight or No change
